Item,Quantity,Description,PartNumber,Vendor
1,4,18-8 Stainless Steel Socket Head Cap Screw 4-40 Thread 1-1/2in Length,92196A119,mcmaster
2,4,18-8 Stainless Steel Socket Head Cap Screw 4-40 Thread 1in Length,92196A115,mcmaster
3,4,18-8 Stainless Steel Socket Head Cap Screw 2-56 Thread 3/8in Length,92196A079,mcmaster
4,4,300 Series Stainless Steel Mil Spec Flat Washer Number 4 Size .25in OD .02-.03in Thick,98019A309,mcmaster
5,4,Nylon 6/6 General Purpose Flat Washer Number 4 Screw Size .21in OD .04-.06in Thick,90295A340,mcmaster
6,4,Nylon 6/6 General Purpose Flat Washer Number 2 Screw Size .19in OD .01-.03in Thick,90295A320,mcmaster
7,16,18-8 Stainless Steel Broach Style Captive Nut 4-40 Thread Size,94648A320,mcmaster
8,4,18-8 Stainless Steel Broach Style Captive Nut 2-56 Thread Size,94648A310,mcmaster
9,1,Optically Clear Cast Acrylic Sheet 1/8in Thick 12x12in,8560K239,mcmaster
10,2,CONN HDR VERT 50POS .100 SNGL,SAM1055-50-ND,digikey
11,1,CABLE USB A-B MALE 1M 2.0 VERS,AE1462-ND,digikey
12,1,LCD SERIAL 4X20 SIDE WHT BKLT,NHD-0420D3Z-NSW-BBW-V3-ND,digikey
13,1,01x03 .100 SR STRAIGHT,609-3461-ND,digikey
14,1,Jumper Wire - 0.1in 3-pin 4in,PRT-10363,sparkfun
15,1,ENCODER OPT 32PPR DET CABLE TYPE,102-1914-ND,digikey
16,1,KNOB CLR/MATTE.50 DIA .250 SHAFT,226-3100-ND,digikey

